6 | Standard name  'mole_fraction_of_hexachlorbiphenyl_in_air' is discontinued
16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31 | Canonical units 'Wm-2' is not accepted by CF-UNITS for 'heat_flux_into_sea_water_due_to_freezing_of_frazil_ice'
16, 17, 18 | Canonical unit 'psu is a special CF unit for  'sea_ice_salinity'
16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31 | Canonical units 'Wm-2' is not accepted by CF-UNITS for 'surface_downward_heat_flux_in_snow'
17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27 | Canonical units 'm -1' has a spurious space for 'volume_extinction_coefficient_in_air_due_to_ambient_aerosol'
18 | Standard name  'atmosphere_water_content' is discontinued
18 | Standard name  'tendency_of_atmosphere_water_vapor_content_due_to_advection' is discontinued
19 | Standard name  'tendency_of_potential_energy_content_of_ocean_layer_due_to_diffusion ' is discontinued
20 | Standard name  'atmosphere_moles_of_acetic_acid ' is discontinued
20 | Standard name  'atmosphere_moles_of_alpha_hexachlorocyclohexane ' is discontinued
20 | Standard name  'tendency_of_atmosphere_mass_content_of_nitrogen_monoxide_due_to_emission ' is discontinued
23 | Aliasing the undefined standard name  'tendency_of_atmosphere_water_vapor_content_due_to_advection'  into  'tendency_of_atmosphere_mass_content_of_water_vapor_due_to_advection'
26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81 | Canonical units 'J kg -1' has a spurious space for 'atmosphere_convective_inhibition'
26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81 | Canonical units 'J kg -1' has a spurious space for 'atmosphere_convective_inhibition_wrt_surface'
26 | Both defining and aliasing standard name  'net_primary_mole_productivity_of_carbon_by_miscellaneous_phytoplankton'  into  'net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_miscellaneous_phytoplankton'
26 | Both defining and aliasing standard name  'net_primary_mole_productivity_of_carbon_by_phytoplankton'  into  'net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_phytoplankton'
26 | Both defining and aliasing standard name  'net_primary_mole_productivity_of_carbon_due_to_nitrate_utilization'  into  'net_primary_mole_productivity_of_biomass_expressed_as_carbon_due_to_nitrate_utilization'
26 | Both defining and aliasing standard name  'net_primary_productivity_of_carbon'  into  'net_primary_productivity_of_biomass_expressed_as_carbon'
26 | Both defining and aliasing standard name  'net_primary_productivity_of_carbon_accumulated_in_leaves'  into  'net_primary_productivity_of_biomass_expressed_as_carbon_accumulated_in_leaves'
26 | Both defining and aliasing standard name  'net_primary_productivity_of_carbon_accumulated_in_roots'  into  'net_primary_productivity_of_biomass_expressed_as_carbon_accumulated_in_roots'
26 | Both defining and aliasing standard name  'net_primary_productivity_of_carbon_accumulated_in_wood'  into  'net_primary_productivity_of_biomass_expressed_as_carbon_accumulated_in_wood'
26 | Both defining and aliasing standard name  'net_primary_mole_productivity_of_carbon_by_picophytoplankton'  into  'net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_picophytoplankton'
26 | Both defining and aliasing standard name  'atmosphere_specific_convective_available_potential_energy'  into  'atmosphere_convective_available_potential_energy'
26 | Aliasing standard name  'specific_convective_available_potential_energy'  into into the non-existing  'atmosphere_convective_available_potential_energy'
26 | Both defining and aliasing standard name  'gross_primary_productivity_of_carbon'  into  'gross_primary_productivity_of_biomass_expressed_as_carbon'
26 | Both defining and aliasing standard name  'net_primary_mole_productivity_of_carbon_by_calcareous_phytoplankton'  into  'net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_calcareous_phytoplankton'
26 | Both defining and aliasing standard name  'net_primary_mole_productivity_of_carbon_by_diatoms'  into  'net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_diatoms'
26 | Both defining and aliasing standard name  'net_primary_mole_productivity_of_carbon_by_diazotrophs'  into  'net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_diazotrophs'
26 | Aliasing standard name  'spectral_radiance'  into into the non-existing  'isotropic_spectral_radiance_in_air'
27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81 | Canonical units 'J kg -1' has a spurious space for 'atmosphere_convective_available_potential_energy_wrt_surface'
28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60 | Canonical units 'm -1' has a spurious space for 'volume_extinction_coefficient_in_air_due_to_ambient_aerosol_particles'
39 | Standard name  'surface_mole_concentration_of_dissolved_inorganic_phosphorus_in_sea_water' is discontinued
57 | Standard name  'tendency_of_surface_ice_amount_due_to_sublimation' is discontinued
57 | Standard name  'tendency_of_surface_snow_amount_due_to_sublimation' is discontinued
57 | Standard name  'tendency_of_surface_snow_and_ice_amount_due_to_sublimation' is discontinued
73, 74, 75, 76, 77, 78, 79, 80, 81 | Canonical units 'mol/m3' used '/' for  'mole_concentration_of_dissolved_organic_nitrogen_in_sea_water'
78, 79, 80, 81 | Canonical units 'J Kg-1' is not accepted by CF-UNITS for 'lightning_potential_index'
